- Fetching latest skills
revenium  v0.6.0  just now  MANDATORY guardrail check BEFORE EVERY OPERATION …
the-four-foundations-of-golf  v1.0.1  2m ago  Jon Sherman's The Four Foundations of Golf — an e…
the-first-days-of-school  v1.0.1  8m ago  Harry and Rosemary Wong's The First Days of Schoo…
coze-power  v1.0.0  13m ago  Bridge your Coze bots to local machine capabiliti…
task-boundary-auditor  v1.0.0  14m ago  Quickly assesses if a task exceeds LLM limits (e.…
the-essential-drucker  v1.0.1  15m ago  Peter Drucker's The Essential Drucker — an execut…
skill-daily  v1.0.4  16m ago  每日扫描 ClawHub 全球 Skill 平台，结合多维数据（⭐/📥/installsCurr…
the-education-of-a-value-investor  v1.0.0  19m ago  Guy Spier's The Education of a Value Investor — a…
better-every-run  v0.5.5  20m ago  Better Every Run: turn explicit /ber corrections …
aoe  v1.10.1  27m ago  Manage AI coding agent sessions via Agent of Empi…
the-crowd  v1.0.1  31m ago  Gustave Le Bon's The Crowd — an executable toolki…
cron-health-cron  v1.0.8  35m ago  Create portable OpenClaw cron health checks with …
the-creative-habit  v1.0.1  40m ago  Twyla Tharp's The Creative Habit — an executable …
sa-copilot  v1.0.0  41m ago  SA Copilot Agent — Based on BA business assets, p…
pm-copilot-en  v1.0.0  41m ago  PM Copilot Agent — Orchestrate parallel BA/SA wor…
veteran-proxy  v1.0.1  42m ago  一个跨平台代理客户端，支持订阅管理、多节点切换、SOCKS5/HTTP 代理及灵活分流规则配置。
ba-copilot  v1.0.0  42m ago  BA Copilot Agent — Transform vague conceptual req…
product-photo-guide  v1.1.0  44m ago  Generate platform-specific product photography sh…
snaplii-autopilot  v1.3.0  44m ago  End-to-end Agent-to-Merchant autopilot: buy a Sna…
snaplii-a2m-payment  v1.9.0  44m ago  This is a skill of Agent-to-Merchant (A2M) paymen…
wechat-markdown-html-render  v1.0.0  45m ago  Render Markdown to polished HTML with WeChat-frie…
chatbot-designer  v1.1.0  45m ago  Design customer service chatbot conversation flow…
referral-engine  v1.1.0  47m ago  Design a customer referral program with incentive…
the-creative-act  v1.0.1  49m ago  Rick Rubin's The Creative Act — an executable too…
faq-builder  v1.1.0  49m ago  Generate comprehensive, conversion-focused FAQ se…
