- Fetching latest skills
shopify-marketing-expert  v1.0.4  1m ago
dwlf  v1.0.0  4m ago  Interact with DWLF (dwlf.co.uk), a market analysi…
skillzmarket  v1.0.4  5m ago  Search and call monetized AI skills from Skillz M…
x-trends-orwhp  v1.0.0  5m ago  Search and analyze trending topics on X (Twitter)…
wallet-tracker-udqiq  v1.0.0  6m ago  Track blockchain addresses in real-time - monitor…
hyperliquid-cli  v1.0.2  6m ago  Trade crypto, stocks (AAPL, NVDA, TSLA), indexes,…
auto-updater-aesz0  v1.0.0  6m ago  Automatically update Clawdbot and all installed s…
polymarket-lzgm8  v1.0.0  6m ago  Trade prediction markets on Polymarket. Analyze o…
phantom-hpwmb  v1.0.0  7m ago  Work with Phantom browser extension - add custom …
youtube-summarize-8edua  v1.0.0  7m ago  Summarize YouTube videos by extracting transcript…
google-workspace-wwxem  v1.0.0  7m ago  Interact with Google Workspace services - Gmail, …
lost-bitcoin-10li1  v1.0.0  8m ago  Search and analyze lost bitcoins - find old inact…
solana-7rrh8  v1.0.0  8m ago  Interact with Solana blockchain - check balances,…
openclaw-confluence-skill  v1.0.0  10m ago  Full Confluence Cloud REST API v2 skill (pages, s…
virtually-us  v1.0.0  11m ago  Your Own AI Personal Assistant, Set Up in 24 Hour…
wallet-tracker-hhjpv  v1.0.0  12m ago  Track blockchain addresses in real-time - monitor…
x-trends-ovdpf  v1.0.0  12m ago  Search and analyze trending topics on X (Twitter)…
yahoo-finance-cv8ev  v1.0.0  13m ago  Get stock quotes, financial data, market news, an…
insider-wallets-finder-firui  v1.0.0  13m ago  Find and analyze smart money addresses - discover…
clawhub  v1.0.4  13m ago  Use the ClawHub CLI to search, install, update, a…
clawhub-olgys  v1.0.0  13m ago  Use the ClawHub CLI to search, install, update, a…
agentmem  v1.0.0  14m ago  Persistent key-value memory storage for agents. U…
auto-updater-eclpb  v1.0.0  14m ago  Automatically update Clawdbot and all installed s…
polymarket-ik168  v1.0.0  14m ago  Trade prediction markets on Polymarket. Analyze o…
phantom-0snsv  v1.0.0  14m ago  Work with Phantom browser extension - add custom …
