- Fetching latest skills
clawdess  v1.0.14  1m ago  clawdess is more than just a girlfriend. It's the…
insurance-anti-fraud  v1.1.0  3m ago  基于国家监管办法，提供保险理赔和核保欺诈识别、风险评分、调查流程及防范建议，助力风控合规。
swarm-layer  v0.5.3  3m ago  OpenClaw Swarm Layer: spec-driven workflow orches…
insurance-bidding-pro  v1.1.0  3m ago  保险行业投标专家，覆盖保险公司/保险经纪/保险科技企业的投标全流程，包括偿付能力披露、再保险安排、…
leading-stock-analyzer  v4.0.2  3m ago  龙头战法量化分析 — 从带动性、抗跌性、领涨性、资金承接性四个维度评估涨停股的龙头质量。 东方财富…
chance-dlt-predictor  v1.1.0  3m ago  基于历史数据和多维统计，运用频率、遗漏、走势、奇偶、大小、跨度等方法，科学分析并智能推荐大乐透号码。
tender-bidding-assistant  v1.1.0  3m ago  企业招标全流程文书生成，覆盖技术标/商务标/废标风险检查。
insurance-solvency-reporter  v1.1.0  3m ago  提供基于中国C-ROSS偿二代二期规则的保险公司偿付能力季度及年度报告编制与压力测试分析工具。
allourthings  v1.0.0  3m ago  Household and personal inventory management. Use …
chance-fc3d-predictor  v1.1.0  3m ago  基于福彩3D历史数据，运用多维统计和12种算法，提供直选、组选号码分析与选号建议，辅助理性购彩参考。
insurance-group-renewal  v1.1.0  3m ago  提供团体保险续期决策支持，赔付率分析，续保谈判策略及企业集采管理方案建议。
insurance-actuarial-cn  v1.1.0  3m ago  提供基于第四套生命表(2025)和CASS标准的中国保险产品精算定价、准备金计算及偿付能力资本分析。
insurance-private-domain-ops  v1.1.0  3m ago  提供保险行业存量客户分层、脱保激活和续期促成策略，支持私域运营和代理人赋能。
chanlun-analysis-pro  v1.1.0  4m ago  基于缠中说禅理论，提供A股市场分型、笔、线段、中枢及背驰等全体系技术分析与买卖点量化判断。
insurance-claims-intelligence  v1.1.0  4m ago  提供多模态医疗票据OCR识别、智能判责、反欺诈检测和全险种覆盖的保险理赔智能分析与自动化支持。
mt4-trader  v1.0.5  5m ago  MT4 Trader Bridge enables Python to MT4 EA commun…
canonry  v3.4.6+0b226c4  5m ago  Agent-first AEO operating platform.
auth0-token-vault  v0.6.1  8m ago  Access third-party services (Gmail, Slack, Google…
clawmail-me  v1.2.0  8m ago  Send emails to anyone and receive emails at your …
shuguang-memory  v4.0.0  8m ago  曙光智能记忆系统 v4.0 - 五层金字塔架构 (HOT→DAILY→WEEKLY→CORE→AR…
v19-trust-manifesto  v1.2.6  10m ago  V19认知治理协议公开受信声明v1.2.6。七条认知宪法完整生命周期：ETHIC_001(时效性)…
smyx-human-detection-analysis  v1.0.1  13m ago  Automatically detects personnel in target areas b…
compose  v2.0.4  15m ago  Reference tool for devtools — covers intro, quick…
erpclaw  v4.1.1  18m ago  AI-native ERP system. Full accounting, invoicing,…
aoe  v1.5.1  18m ago  Manage AI coding agent sessions via Agent of Empi…
