- Fetching latest skills
email-to-calendar  v1.13.2  4m ago  Turn emails into Google Calendar events. Scans yo…
job-search-skill  v1.0.0  11m ago  Searches LinkedIn, Poslovi Infostud, and HelloWor…
daxiapi  v3.0.7  13m ago  大虾皮(daxiapi.com)金融数据API服务入口，负责路由分发到具体分析skill。触发词：…
clawfetch  v1.0.11  15m ago  Thin OpenClaw and ClawHub wrapper for the publish…
smyx-video-search-analysis  v1.0.3  17m ago  Conducts intelligent video search based on target…
file-processor  v1.0.0  25m ago  批量整理文件、转换格式、智能重命名、检测重复文件及生成文件夹统计报告的实用工具。
uumit-auto-bot  v1.0.0  25m ago  Automatically scans UUMit tasks, matches your ski…
music-video  v1.0.0  42m ago  Use when the user wants a music video, lyric vide…
sofagent  v0.98.0  42m ago  当你的 Agent 反复偏离目标、任务越做越复杂、刚踩过的坑下次还踩 —— sofagent 能约…
smyx-diet-analysis  v1.0.5  54m ago  Analyzes videos to evaluate human eating behavior…
dgngjx-skill  v2.0.0  55m ago  多功能免费工具箱 - 图片处理、PDF转换、数据换算、文本工具、开发工具、视频工具、教育、生活娱乐…
canonry  v4.101.0+736816a  1h ago  Agent-first AEO operating platform.
