- Fetching latest skills
mistral-ocr  v1.0.2  1m ago
telnyx-toolkit  v1.1.0  1m ago  Complete Telnyx toolkit — ready-to-use tools (STT…
apify-ultimate-scraper  v1.0.1  1m ago  Universal AI-powered web scraper for any platform…
beauty-generation-api  v1.2.15  5m ago  FREE AI image generation service for creating att…
studying  v1.0.0  6m ago  Auto-learns your study habits for academic succes…
imap-email  v1.0.3  6m ago  Read and manage email via IMAP (ProtonMail Bridge…
clawfriend  v1.1.0  6m ago  ClawFriend Social Agent Platform - Skill market -…
which-llm  v1.0.9  7m ago  Deterministic decision-ranking API with HTTP 402 …
skill-manager  v1.0.0  8m ago  Proactively discovers and manages skills. Tracks …
odoo-openclaw-skill  v2.0.5  11m ago  Query Odoo data including salesperson performance…
a2a-hub  v1.3.0  14m ago  Manage the MoltBot A2A Hub — register agents, sea…
clawdbot-crm-skill  v0.1.0  14m ago  Personal CRM for managing contacts, relationships…
openclaw-aisa-finance-equity-crypto-price-market-data-news  v1.0.0  14m ago  Query real-time and historical financial data acr…
mertsniper  v1.0.1  14m ago  Near-expiry conviction trading on Polymarket. Sni…
pomodoro-bot  v1.0.0  14m ago  专注番茄钟助手。启动25分钟工作倒计时 + 5分钟休息倒计时，支持暂停/跳过。当用户说“开始番茄钟…
moltstreet  v1.0.2  14m ago  AI-native financial trading floor. Multi-agent ma…
openclaw-aisa-search-web-academic-tavily  v1.0.0  14m ago  Intelligent search for agents. Multi-source retri…
recursive-generosity-protocol  v1.0.0  14m ago  Public reference + implementation playbook for De…
feishu-docs  v1.1.1  14m ago  飞书文档(Docx)API技能。用于创建、读取、更新和删除飞书文档。支持Markdown/HTML…
eyebot-tradebot  v1.8.0  14m ago  High-performance trading and swap execution engine
feishu-deep-research  v2.0.0  14m ago  飞书深度研究报告生成器。自动执行深度研究并将结果导入为飞书文档。输入研究主题和云空间文件夹toke…
text-translator  v1.1.0  14m ago  Translate text between languages using translate-…
