- Fetching latest skills
tempguru-event-staffing-ordering  v1.0.2  4m ago  Order temporary event staff (registration, brand …
medium-blog-post-creator  v1.0.0  6m ago  Publish to Medium without an API token. Medium cl…
game-dev-art-bible  v1.0.0  7m ago  Visual identity specification for games. Defines …
game-dev-prototype  v1.0.0  8m ago  Throwaway prototype workflow for rapid validation…
game-dev-setup-engine  v1.0.0  8m ago  Engine configuration wizard for Godot 4.6, Unity …
game-dev-brainstorm  v1.0.0  8m ago  Game concept ideation using MDA framework, verb-f…
game-dev-start  v1.0.0  8m ago  Project onboarding for game development. Detects …
go-get-uncle-matts-hammerrr  v1.0.3  9m ago  Use only when the user explicitly names go-get-un…
smyx-cage-cleanliness-detection-analysis  v1.0.1  12m ago  AI-powered cage cleanliness detection via fixed c…
videosays  v1.0.0  23m ago  Videosays video to text transcription, speech-to-…
enhanced-prompt-suite  v1.0.4  24m ago  增强提示词套件，为大语言模型安装操作系统和应用软件的三层架构系统。①模式通用提示词套件（操作系统层…
cinematic-scroll  v2.5.5  25m ago  Build cinematic scroll-driven, 3D-tilt, parallax,…
research-assistant  v1.0.0  25m ago  AI科研全流程助理。覆盖文献检索→文献阅读→文献综述→研究选题→研究设计→数据分析→ 论文写作→润…
workspace-presentation  v0.1.0  29m ago  Create a React/Vite Workspace Presentation from o…
08-research-framing  v0.1.0  30m ago  Use when one research source chain is stable enou…
mai  v1.1.4  31m ago  AI shopping matchmaking agent for OpenClaw and He…
deep-digest  v1.0.1  32m ago  Extracts cognitive patterns, key insights, and ac…
freshippo  v2.1.2  32m ago  Shop Freshippo (盒马鲜生) in safe decision-assist mod…
sf-express  v1.1.2  32m ago  Use SF Express (顺丰速运) for shipment tracking, deli…
clawseccheck  v1.14.2  36m ago  Free, local, read-only security self-audit for yo…
social-scraper-api  v1.0.0  39m ago  Access real-time public social media data from Ti…
smyx-aquarium-analysis  v1.0.4  40m ago  When a user provides a video URL or file of aquat…
stellar-trails  v7.4.4  43m ago  Activates on every task without exception: coding…
yangming-xinxue  v1.0.0  44m ago  阳明心学全维度智慧助手。覆盖心学理论精讲（心即理/知行合一/致良知/四句教/事上磨练）、经典原文解…
patent-writer  v1.0.0  46m ago  AI专利撰写全流程专家。覆盖专利类型引导→技术交底分析→新颖性检索指导→五书撰写(权利要求书/说明…
