- Fetching latest skills
fulcra-morning-briefing  v1.1.8  just now  Compose a personalized morning briefing using the…
fulcra-annotations  v1.0.12  1m ago  Create, list, update, and record Fulcra annotatio…
drivethru-graphic-artist  v0.1.0  3m ago  Generate product mockups by compositing a decorat…
canonry  v4.105.0+fb07c8a  10m ago  Agent-first AEO operating platform.
fulcra-context  v1.4.12  10m ago  Access user-consented Fulcra context data includi…
chinese-official-writing  v1.4.13  14m ago  用于中文公文和机关企事业单位、学校等正式事务材料的起草、改写、压缩和复核；当用户明确要求写申请、请…
improve-code-comments  v1.0.1  14m ago  Use when auditing, adding, removing, or improving…
smyx-contactless-vital-signs-monitoring-analysis  v1.0.7  15m ago  Non-contact detection of heart rate, respiration,…
grilling  v1.0.4  15m ago  Interview the user relentlessly about a plan or d…
lota-football  v2.0.2  17m ago  世界杯历史数据提示词免费获取
elegantbook-latex  v1.1.1  19m ago  Converts Markdown into an ElegantBook LaTeX book …
project-cookbook-latex  v1.0.0  19m ago  Creates source-level 80k+ word project CookBooks …
latex-to-nextra-site  v1.0.0  19m ago  将 project-cookbook-latex 生成的 LaTeX 工程转换为基于 Nextra…
epub-translator  v1.0.0  19m ago  将英文 EPUB 文件逐段翻译为中文（保留原文，译文紧跟其下），自动跳过代码块、保留公式样式、表格…
epub-reader-optimizer  v1.0.0  19m ago  优化 EPUB 文件的阅读体验：重写 CSS、统一中英文双语段落排版、强制字体（如 LXGW We…
agent-repo-router  v1.0.0  27m ago  Repo-aware router skill for AI coding CLIs: map t…
docmate  v1.0.0  27m ago  Documentation QA and repair skill for agent platf…
