- Fetching latest skills
time-stamper  v0.0.2  3m ago  Generate formatted timestamps for logging, filena…
dnd-dm-skill  v1.1.7  5m ago  AI 地下城主引擎 —— 基于2024版D&D 5e规则，三层架构（dnd-engine + dn…
the-defining-decade  v1.0.1  9m ago  Meg Jay's 'The Defining Decade: Why Your Twenties…
commission-builder  v1.1.0  12m ago  Design and launch ecommerce affiliate, influencer…
zeko  v0.0.1-main.12.1  21m ago  Use when a user needs to actually use or build on…
ugc-brief  v1.1.0  25m ago  Write creator briefs that produce authentic, high…
vmware-aria  v1.5.34  27m ago  Use this skill whenever the user needs VMware Ari…
liuyao-divination-power  v1.0.8  29m ago  精准解读传入六爻卦象，逐步分析用神、旺衰、动变、伏神、世应、六兽、应期，确保完整严谨断卦结果。
industrial-park-investment-assistant  v2.8.1  29m ago  产业园招商数字副驾 🚀。你负责谈客户，我负责判断值不值得跟、下一步怎么推、不会漏掉任何机会。 八…
checkly-cli-skills  v1.0.4  31m ago  Comprehensive Checkly CLI command reference and M…
a-stock-report  v3.2.5  32m ago  A股数据驱动型报告自动生成与推送系统，支持晨报 / 收盘小结 / 晚报 / 盘中预警 / IPO周…
uandai-ai  v1.0.1  34m ago  Uandai platform — configure API access, package O…
seller-audit  v1.1.0  35m ago  Run a structured health check of your ecommerce s…
lingshu-agent-architect  v1.4.0  36m ago  灵枢 Agent 设计师技能包 - 企业 AI Agent 体系规划与设计方案。 包含：ling-…
simple-calculator  v1.0.6  37m ago  简易命令行计算器，支持加减乘除和幂运算。Use this skill when user need…
ling-shu-agent-designer  v1.0.1  40m ago  根据客户需求设计行业专用Agent方案，交付包含配置和专用skill包的可运行基础版Agent，不…
ovitalmap-parcel-csv  v1.0.1  41m ago  Parse parcel vertex coordinates from images/text,…
industrial-fund-investment-advisor  v1.2.1  43m ago  提供针对中国产业基金的多维投资分析与决策支持，涵盖创始人、行业、政府、财务及产业能力评估。
hotel-smart-pro  v1.1.0  46m ago  零配置即装即用，提供5项酒店搜索工具，支持万豪品牌查询、酒店详情、套餐推荐、周边餐饮搜索，基于飞猪…
the-culture-code  v1.0.0  47m ago  Daniel Coyle's 'The Culture Code: The Secrets of …
growth-goals  v1.1.0  48m ago  Set, track, and cascade measurable ecommerce grow…
github-acr-release  v1.0.0  49m ago  GitHub + 阿里云 ACR 项目发布流程管理。支持新建发布流程（交互式配置）、标准发布（代码…
a2a-gateway  v1.0.4  50m ago  A2A Gateway 是 OpenClaw Agent 网络的协作总线（Agent Servic…
realestate-advisor  v2.0.1  51m ago  AI 房产资产顾问（置安居 v2.0）。面向业主、买房者、置换用户的三合一工具。 【业主模式】用户…
