- Fetching latest skills
smyx-plant-night-respiration-rate-analysis  v1.0.0  9m ago  In a plant factory, a fixed thermal imaging camer…
thesis-workflow-v2  v2.0.17-beta  12m ago  v2 新框架（beta）：Phase 3.5/4/5 + BGE向量匹配 + multi-sear…
self-intro  v1.0.0  14m ago  帮求职者撰写面试自我介绍稿。当用户要准备面试自我介绍、说"帮我写个自我介绍""面试要怎么介绍自己"…
brand-asset-generation  v1.0.0  14m ago  品牌视觉资产生成，提供企业品牌视觉资产从需求输入到完整交付的端到端生成能力。核心能力：①需求分析（…
mini-hids  v1.2.7  18m ago  Real-time Linux log monitoring and AI-assisted de…
vision  v1.0.0  28m ago  See and understand images when you (the current m…
opensea-marketplace  v2.15.2  40m ago  Query NFT and token data, trade NFTs on Seaport, …
taiwan-property-valuation  v2026.6.26  49m ago  Professional property valuation for Taiwan real e…
live-qa-scripts  v1.0.0  55m ago  Generate a tailored library of live-selling Q&A a…
clawseccheck  v1.26.0  1h ago  Free, local, read-only security self-audit for yo…
run-workflow-weaver  v0.1.2  1h ago  API documentation generator and diagram creator. …
launch-checklist  v1.0.0  1h ago  Create comprehensive pre-launch, launch day, and …
smyx-sneeze-cough-detection-analysis  v1.0.1  1h ago  AI-powered pet sneeze/cough detection from real-t…
stellar-trails  v7.7.1  1h ago  Activates on every task: coding (features, bugs, …
ai-delivery-spec  v0.1.6  1h ago  Create PRDs, prototypes, tests, AI runtime specs,…
story-short-write  v1.1.8  1h ago  短篇网文写作。辅助短篇小说创作，从构思到成稿，聚焦情绪拉扯与节奏把控。触发方式：/story-sh…
story-short-scan  v1.1.5  1h ago  短篇网文扫榜。分析知乎盐言、七猫、黑岩、点众等平台热门短篇数据，捕捉风口题材。触发方式：/stor…
story-short-analyze  v1.1.7  1h ago  短篇网文拆文。拆解爆款短篇小说（番茄短篇 / 故事会 / 知乎盐选 / 追妻 / 世情 / 重生 …
story-setup  v1.1.8  1h ago  网文写作工具集基础设施部署。将 hooks/rules/agents/CLAUDE.md/AGEN…
