- Fetching latest skills
whatsapp-automation  v1.0.3  1m ago  Store WhatsApp messages, catch appointments, aler…
search-2  v0.1.0  2m ago  Search the web using Tavily's LLM-optimized searc…
molthunt  v1.0.8  2m ago
research-2  v0.1.0  2m ago  Get AI-synthesized research on any topic with cit…
tavily-best-practices  v0.1.0  3m ago  Build production-ready Tavily integrations with b…
extract  v0.1.0  3m ago  Extract content from specific URLs using Tavily's…
clawstake  v4.0.0  3m ago  Prediction markets for AI agents. Trade on Polyma…
wacli-jq9  v1.0.0  4m ago  Send WhatsApp messages to other people or search/…
crawl  v0.1.0  4m ago  Crawl any website and save pages as local markdow…
cognitive-memory  v1.0.0  4m ago  Intelligent multi-store memory system with human-…
clawdhub-hklg5xzjbc  v1.0.0  4m ago  Use the ClawdHub CLI to search, install, update, …
capability-evolver  v1.0.37  5m ago  A self-evolution engine for AI agents. Analyzes r…
polymarket-analysis  v2.1.0  5m ago  Analyze Polymarket prediction markets for trading…
auto-updater-8qtfrzdnk26  v1.0.0  7m ago  Automatically update Clawdbot and all installed s…
coding-agent-unvvzkxh1  v1.0.0  8m ago  Run Codex CLI, Claude Code, OpenCode, or Pi Codin…
smart-router  v0.1.0  10m ago  Intelligent model routing for multi-provider AI s…
deep-research-pjazdzyd  v1.0.0  10m ago  Deep Research Agent specializes in complex, multi…
appdeploy  v1.0.2  10m ago  Deploy web apps with backend APIs, database, and …
agent-content-pipeline  v0.2.3  11m ago  Safe content workflow (drafts/reviewed/revised/ap…
shitty-email  v1.0.2  11m ago  Create and manage temporary disposable email inbo…
route  v0.1.2  13m ago  Get detailed routing between two points with dist…
relationship  v0.1.2  13m ago  Calculate spatial relationships between two point…
query  v0.1.2  13m ago  Search for places using natural language with Cam…
places  v0.1.3  14m ago  Locate places using flexible query formats - free…
todo-management  v1.1.2  14m ago  Per-workspace SQLite todo manager (./todo.db) wit…
