- Fetching latest skills
pixellab-ai  v1.1.1  11m ago  PixelLab AI asset workflow and API helper for gen…
tattoo-design-guide  v1.0.0  16m ago  AI纹身设计全维度指南。覆盖9大纹身风格详解（Old School/New School/日式传统…
enhanced-prompt-suite  v1.0.1  23m ago  增强提示词套件技能，提供多种模式的提示词模板，包括模式直用、模式改进、模式迁移、模式构建等创新框架…
meta-skill-system  v1.0.6  25m ago  元技能系统，提供领域评估、工作流重构、领域负载物生成和通用任务执行的完整能力。核心能力：①领域消除…
openmerch-people-search  v1.0.1  27m ago  Search for people at a company by domain and role…
stellar-trails  v7.3.2  30m ago  Activates on every task without exception: coding…
growth-engineer  v1.0.168  31m ago  Growth Engineer for mobile apps and agent runtime…
first-aid-guide  v1.0.0  31m ago  AI急救指南 — 覆盖心肺复苏CPR+AED、海姆立克急救法、止血包扎、骨折固定、 烧伤、中毒、中…
stock-watcher-2  v0.1.0  33m ago  Manage and monitor a personal stock watchlist wit…
html-mender  v0.1.11  40m ago  Visual editor for local or saved HTML files, espe…
github-developer-data-tools  v1.0.0  48m ago  GitHub & developer data for AI agents — repo meta…
economic-data-fred-worldbank  v1.0.0  48m ago  Economic data for AI agents — search 800k+ Federa…
bank-health-fdic-data  v1.0.0  48m ago  Bank health & FDIC data for AI agents — check any…
ai-tarot-guide  v1.0.0  48m ago  AI塔罗指引全流程助手。覆盖78张塔罗牌详解(22张大阿卡纳+56张小阿卡纳含宫廷牌)、四大经典牌…
taiwan-property-valuation  v2.1.0  49m ago  Professional property valuation for Taiwan real e…
smyx-child-dangerous-behavior-recognition-analysis  v1.0.4  52m ago  Detects climbing, playing with fire, touching pow…
cooplens-skill  v0.9.0  56m ago  Analyze Chinese-foreign cooperative undergraduate…
mainctrl  v1.1.0  1h ago  Runtime safety guard for OpenClaw multi-agent wor…
skill-usefulness-audit  v0.3.2  1h ago  Audit installed agent-skill packages for cleanup …
skill-release-audit  v1.0.1  1h ago  Pre-publish quality and safety auditor for AI age…
jewelry-appraiser  v1.0.0  1h ago  提供钻石4C、彩宝、翡翠、珍珠等珠宝专业鉴定、价格评估、证书解读及投资选购全方位智能咨询服务。
ai-tarot  v1.0.0  1h ago  AI塔罗指引 — 78张牌详解(22张大阿卡纳/56张小阿卡纳/权杖/圣杯/宝剑/星币)/宫廷牌/…
ai-magic-tricks  v1.0.2  1h ago  AI魔术教程 — 近景魔术（硬币/纸牌/皮筋/海绵球/戒指/绳子）/舞台魔术/心灵魔术Mental…
ai-yoga  v1.0.0  1h ago  AI瑜伽指导 — 哈他/流瑜伽/阿斯汤加/艾扬格/阴瑜伽/热瑜伽/力量瑜伽/理疗瑜伽/体式库(站姿…
ai-tai-chi  v1.0.0  1h ago  AI太极拳指导 — 陈杨吴武孙五大流派/二十四式简化太极拳/站桩/缠丝劲/推手/套路解析(陈氏老架…
