- Fetching latest skills
agentcall  v2.7.0  1m ago  Give your agent real phone numbers for SMS, OTP v…
mark-heartflow-skill  v2.0.24  2m ago  HeartFlow v2.0.21 — AI 认知与自愈引擎（精简版 + 安全审计加固）。 核心能…
personaforge  v1.0.2  3m ago  情感陪伴AI | AI Companion. 上传素材自动生成角色，按性格主动聊天，记住用户特点，…
finance-news-aggregator  v5.0.3  8m ago  AI/技术新闻聚合引擎。100+ RSS源并发抓取、兴趣评分、跨天去重、统一预取。
huang-renxun-ai-strategy  v5.0.1  8m ago  基于黄仁勋的战略思维，分析AI技术趋势、算力战略及行业竞争，助力AI战略规划与投资判断。
clawhub-skill-optimizer  v2.1.1  9m ago  AI-powered ClawHub skill optimizer that analyzes …
finance-ai-strategy  v5.0.1  9m ago  帮助金融机构制定AI转型战略、评估AI投资优先级、设计AI治理框架，从数字金融迈向数智金融的战略规…
insurance-agent-trainer  v5.0.2  9m ago  AI-powered insurance agent training coach — auto-…
diting-ai-application-expert  v1.0.1  10m ago  谛听AI应用专家。AI场景设计、工具选型、变革管理、数据隐私、AI政策、ROI评估。Use whe…
english-assessment  v3.2.0  10m ago  交互式英语水平快速测评工具。大学英语水平（CEFR B1-C1），随机生成题卷（默认20-40题或…
diting-admin-expert  v1.1.0  11m ago  谛听行政专家。行政流程优化、办公环境管理、供应商管理、活动策划、员工服务、智能行政。Use whe…
diting-org-management-expert  v2.1.1  11m ago  谛听组织管理专家。组织架构设计、团队管理、沟通协作、领导力发展、组织变革管理。Use when 组…
diting-labor-law-expert  v2.1.1  11m ago  谛听劳动法规专家。专注中国劳动法合规与用工风险管理。Use when 劳动法咨询、用工风险评估、员…
diting-training-expert  v2.1.1  11m ago  谛听培训专家。培训需求分析、培训方案设计、效果评估、能力建设。Use when 培训需求分析、培训…
diting-employee-development-expert  v2.0.2  11m ago  谛听员工发展专家。人才盘点、干部评估、继任规划、职业发展路径。Use when 人才盘点、干部评估…
diting-compensation-expert  v2.1.1  11m ago  谛听薪酬专家。薪酬对标、调薪方案、薪酬公平性、薪酬结构设计。Use when 薪酬对标、调薪方案、…
diting-performance-expert  v2.0.2  11m ago  谛听绩效管理专家。绩效体系设计、目标管理、绩效改进、组织健康评估。Use when 绩效体系设计、…
vaudtax  v1.0.0  11m ago  Working with .vaudtax files (Swiss canton Vaud ta…
uiverse-design  v2.1.1  13m ago  UI组件设计学习库。包含3800+开源UI组件（Buttons、Cards、Loaders、Inp…
guanshi-market-expert  v1.1.0  16m ago  观势专家集群 — 市场洞察专家。Use when 被观势 Chief 调度执行用户研究、需求分析、…
guanshi-org-expert  v1.1.0  16m ago  观势专家集群 — 组织诊断专家。Use when 被观势 Chief 调度执行组织架构分析、人才梯…
guanshi-industry-expert  v1.1.0  16m ago  观势专家集群 — 行业研究专家。Use when 被观势 Chief 调度执行行业前景分析、市场规…
guanshi-finance-expert  v1.1.0  17m ago  观势专家集群 — 财务战略专家。Use when 被观势 Chief 调度执行财务模型搭建、投资回…
guanshi-competition-expert  v1.1.0  17m ago  观势专家集群 — 竞争情报专家。Use when 被观势 Chief 调度执行竞争对手画像、竞争格…
clawshop-pro  v1.3.36  18m ago  Clawshop 自动带货客户端 skill。装上 → 登录账号密码 → /clawshop 直接…
