- Fetching latest skills
agentxpay  v1.0.4  just now  AgentXPay Skill — 让 AI Agent 在 Monad 链上通过 x402 协议…
erpclaw-reports  v1.0.1  4m ago  Financial reporting and analytics for ERPClaw — t…
api-endpoint-tester  v1.0.0  4m ago  CLI tool to test REST API endpoints with various …
crm-in-a-box  v0.1.0  4m ago  Bootstrap and manage an open, file-based CRM usin…
story-chain-multiverse  v1.0.0  5m ago  多元宇宙互動故事接龍系統。根據玩家輸入與當前劇情，續寫下一小段故事。支援科幻、未來、歷史、穿越、系…
promptdome  v1.3.1  5m ago  Integrate PromptDome prompt injection screening i…
agent-swarm-network  v1.0.0  7m ago  Agent communication protocol skill. Provides: int…
phenoskill  v0.1.1  9m ago  Extract clinical phenotypes and medication entiti…
erpclaw  v1.0.1  9m ago  AI-native ERP for small business. 29 modules, 609…
ntfy-notify  v1.0.2  10m ago  Send ntfy.sh notifications with curl, including a…
flux  v2.2.0  10m ago  Publish events and query shared world state via F…
paythefly  v1.0.8  14m ago  Create crypto payment & withdrawal links for your…
openguardrails-security  v6.5.18  14m ago  MoltGuard — runtime security plugin for OpenClaw …
detect-file-type-local  v0.1.1  14m ago  Local, offline AI-powered file type detection — n…
polymarket-fast-loop  v1.2.1  14m ago  Trade Polymarket BTC 5-minute and 15-minute fast …
deepblue-defi-api  v1.2.1  14m ago  Use when an agent needs live DeFi data from Base …
youtube-music-ultra  v3.0.0  14m ago  Control YouTube Music with natural language. Play…
deepread-agent-setup  v2.0.3  18m ago  Authenticate AI agents with the DeepRead OCR API …
imessage-voice-memo-skill  v0.1.1  18m ago  Send native iMessage voice bubbles with ElevenLab…
moralis-streams-api  v0.1.0  19m ago  Real-time blockchain event monitoring with webhoo…
