- Fetching latest skills
illo  v0.19.0  2m ago  Creates original editorial illustrations where a …
clawpatch  v0.1.3  3m ago  This skill is specifically for the Clawpatch CLI …
text2echart  v2.0.6  4m ago  Chart generator skill. When triggered: - Default:…
clip-media  v0.3.0  5m ago  Extract media (videos, photos, GIFs, audio) from …
memory-router  v2.2.1  5m ago  OpenClaw skill that auto-tiers bloated MEMORY.md,…
smart-scraper-web  v1.1.0  5m ago  Extract structured data from websites. Tables, li…
travel-tax-refund  v1.0.0  8m ago  出境购物退税全流程指引助手；帮旅行者了解各国退税政策、计算退税金额、掌握退税流程和注意事项。当用户…
travel-telecom-guide  v1.0.0  8m ago  出境旅行通讯方案对比与选择助手；帮旅行者对比漫游/当地SIM/eSIM/WiFi蛋方案，推荐最划算…
travel-food-guide  v1.0.0  8m ago  旅行场景美食推荐与餐饮规划助手；帮旅行者找景点周边餐厅、当地必吃特色、生成多日餐饮计划。当用户需要…
pet-travel-guide  v1.0.0  9m ago  中国宠物出行全攻略 — 航空托运/客舱政策、火车携带、宠物友好酒店、证件办理、健康证明，覆盖主流航…
visa-smart-guide  v1.0.0  9m ago  中国公民出境签证智能指南 — 签证要求查询、材料清单生成、最新政策速递，覆盖80+热门目的地，零配…
the-science-of-storytelling  v1.0.1  10m ago  Will Storr's The Science of Storytelling: Why Sto…
debug-root-cause  v1.0.2  15m ago  系统化根因分析：用 20 种 RCA 方法替代随机试错。 当工具返回 error 或不符合预期的结…
reframe  v1.0.2  15m ago  问题重构：压缩噪音、跳出循环、重新定义问题。 当用户说"换个角度"、"简单点"、"还有别的方法"、…
claude-clarity  v1.0.0  16m ago  AI 认知与自愈引擎。存在感知、真善美评分、三层记忆、 Q-learning 自愈、梦境整合、反事…
assess-me  v1.0.2  16m ago  认知状态审计：检查当前推理是否存在不确定性、矛盾或盲点。 当用户质疑（"你确定吗"、"再检查"、"…
pop-stand-out-in-any-crowd  v1.0.0  16m ago  Sam Horn's POP!: Stand Out in Any Crowd — a perso…
write-a-skill  v2.0.31  18m ago  Create new agent skills with proper structure, pr…
hermes-features  v1.0.0  18m ago  Hermes-style self-improvement and memory manageme…
3d-filament-tracker  v0.1.0  20m ago  把 3D 打印耗材订单截图整理成可交互的 HTML 库存追踪器。多模态读图识别材料/品牌/颜色/卷…
neuro-linguistic-programming-for-dummies  v1.0.0  21m ago  Romilla Ready and Kate Burton's Neuro-linguistic …
xrowgmbh-gitlab-agent-profile  v1.51.0  26m ago  Maintain the GitLab agent profile page and static…
xrowgmbh-gitlab-agent  v1.51.0  26m ago  An agent for interacting with GitLab. Supports gi…
xrowgmbh-image-generation  v1.51.0  26m ago  Create or revise document, PDF, web, or review im…
xrowgmbh-gitlab-hackathon  v1.51.0  26m ago  Plan and execute fair GitLab hackathon participat…
